,train_len,test_len,rec_len,hit,precision,recall,f1_score
340,25,3,20,3,0.15,1,0.260869565
593,77,26,20,6,0.3,0.230769231,0.260869565
326,118,34,20,7,0.35,0.205882353,0.259259259
327,37,11,20,4,0.2,0.363636364,0.258064516
433,11,11,20,4,0.2,0.363636364,0.258064516
459,15,11,20,4,0.2,0.363636364,0.258064516
138,16,6,20,0,0,0,error
79,45,19,20,5,0.25,0.263157895,0.256410256
223,56,19,20,5,0.25,0.263157895,0.256410256
322,80,27,20,6,0.3,0.222222222,0.255319149
464,103,35,20,7,0.35,0.2,0.254545455
143,61,10,20,0,0,0,error
522,149,51,20,9,0.45,0.176470588,0.253521127
17,77,28,20,6,0.3,0.214285714,0.25
146,26,6,20,0,0,0,error
147,16,4,20,0,0,0,error
200,250,84,20,13,0.65,0.154761905,0.25
444,30,12,20,4,0.2,0.333333333,0.25
539,26,12,20,4,0.2,0.333333333,0.25
549,17,4,20,3,0.15,0.75,0.25
141,131,37,20,7,0.35,0.189189189,0.245614035
573,212,87,20,13,0.65,0.149425287,0.242990654
266,134,46,20,8,0.4,0.173913043,0.242424242
155,35,11,20,0,0,0,error
239,208,71,20,11,0.55,0.154929577,0.241758242
186,163,63,20,10,0.5,0.158730159,0.240963855
158,21,5,20,0,0,0,error
159,71,26,20,0,0,0,error
231,19,5,20,3,0.15,0.6,0.24
334,124,30,20,6,0.3,0.2,0.24
394,18,5,20,3,0.15,0.6,0.24
407,17,5,20,3,0.15,0.6,0.24
63,206,65,20,10,0.5,0.153846154,0.235294118
183,43,14,20,4,0.2,0.285714286,0.235294118
224,40,14,20,4,0.2,0.285714286,0.235294118
229,51,14,20,4,0.2,0.285714286,0.235294118
30,28,6,20,3,0.15,0.5,0.230769231
77,23,6,20,3,0.15,0.5,0.230769231
189,14,6,20,3,0.15,0.5,0.230769231
507,15,6,20,3,0.15,0.5,0.230769231
521,34,6,20,3,0.15,0.5,0.230769231
550,22,6,20,3,0.15,0.5,0.230769231
577,120,41,20,7,0.35,0.170731707,0.229508197
175,17,7,20,0,0,0,error
86,55,15,20,4,0.2,0.266666667,0.228571429
131,54,15,20,4,0.2,0.266666667,0.228571429
314,104,24,20,5,0.25,0.208333333,0.227272727
362,85,24,20,5,0.25,0.208333333,0.227272727
