, train_len, test_len, rec_len, hit, precision, recall, f1_score
102,44,12,10,5,0.5,0.416666667,0.454545455
389,22,12,10,5,0.5,0.416666667,0.454545455
399,24,12,10,5,0.5,0.416666667,0.454545455
451,26,8,10,4,0.4,0.5,0.444444444
486,39,17,10,6,0.6,0.352941176,0.444444444
470,67,13,10,5,0.5,0.384615385,0.434782609
25,22,4,10,3,0.3,0.75,0.428571429
37,17,4,10,3,0.3,0.75,0.428571429
150,22,4,10,3,0.3,0.75,0.428571429
2,20,9,10,4,0.4,0.444444444,0.421052632
8,33,14,10,5,0.5,0.357142857,0.416666667
400,29,14,10,5,0.5,0.357142857,0.416666667
476,55,14,10,5,0.5,0.357142857,0.416666667
131,50,19,10,6,0.6,0.315789474,0.413793103
81,21,5,10,3,0.3,0.6,0.4
107,29,5,10,3,0.3,0.6,0.4
364,16,5,10,3,0.3,0.6,0.4
321,41,15,10,5,0.5,0.333333333,0.4
501,30,15,10,5,0.5,0.333333333,0.4
43,88,26,10,7,0.7,0.269230769,0.388888889
229,49,16,10,5,0.5,0.3125,0.384615385
347,34,11,10,4,0.4,0.363636364,0.380952381
455,46,11,10,4,0.4,0.363636364,0.380952381
411,100,27,10,7,0.7,0.259259259,0.378378378
492,94,27,10,7,0.7,0.259259259,0.378378378
72,39,6,10,3,0.3,0.5,0.375
173,19,6,10,3,0.3,0.5,0.375
193,29,6,10,3,0.3,0.5,0.375
242,29,6,10,3,0.3,0.5,0.375
507,15,6,10,3,0.3,0.5,0.375
447,61,17,10,5,0.5,0.294117647,0.37037037
240,89,39,10,9,0.9,0.230769231,0.367346939
602,95,40,10,9,0.9,0.225,0.36
353,72,18,10,5,0.5,0.277777778,0.357142857
30,27,7,10,3,0.3,0.428571429,0.352941176
302,25,7,10,3,0.3,0.428571429,0.352941176
574,16,7,10,3,0.3,0.428571429,0.352941176
493,48,13,10,4,0.4,0.307692308,0.347826087
394,15,8,10,3,0.3,0.375,0.333333333
110,37,14,10,4,0.4,0.285714286,0.333333333
121,44,14,10,4,0.4,0.285714286,0.333333333
343,45,14,10,4,0.4,0.285714286,0.333333333
566,54,20,10,5,0.5,0.25,0.333333333
247,106,44,10,9,0.9,0.204545455,0.333333333
16,71,27,10,6,0.6,0.222222222,0.324324324
79,49,15,10,4,0.4,0.266666667,0.32
235,50,15,10,4,0.4,0.266666667,0.32
402,33,15,10,4,0.4,0.266666667,0.32
209,26,9,10,3,0.3,0.333333333,0.315789474
277,19,9,10,3,0.3,0.333333333,0.315789474
338,30,9,10,3,0.3,0.333333333,0.315789474
145,20,3,10,2,0.2,0.666666667,0.307692308
17,82,23,10,5,0.5,0.217391304,0.303030303
136,88,23,10,5,0.5,0.217391304,0.303030303
446,61,23,10,5,0.5,0.217391304,0.303030303
99,43,10,10,3,0.3,0.3,0.3
142,28,10,10,3,0.3,0.3,0.3
296,17,10,10,3,0.3,0.3,0.3
464,101,37,10,7,0.7,0.189189189,0.29787234
152,46,17,10,4,0.4,0.235294118,0.296296296
141,124,44,10,8,0.8,0.181818182,0.296296296
181,94,24,10,5,0.5,0.208333333,0.294117647
424,100,38,10,7,0.7,0.184210526,0.291666667
559,102,38,10,7,0.7,0.184210526,0.291666667
494,18,4,10,2,0.2,0.5,0.285714286
5,33,11,10,3,0.3,0.272727273,0.285714286
162,27,11,10,3,0.3,0.272727273,0.285714286
349,26,11,10,3,0.3,0.272727273,0.285714286
378,37,11,10,3,0.3,0.272727273,0.285714286
429,47,11,10,3,0.3,0.272727273,0.285714286
515,15,11,10,3,0.3,0.272727273,0.285714286
536,29,11,10,3,0.3,0.272727273,0.285714286
117,126,39,10,7,0.7,0.179487179,0.285714286
15,95,40,10,7,0.7,0.175,0.28
308,89,26,10,5,0.5,0.192307692,0.277777778
426,69,19,10,4,0.4,0.210526316,0.275862069
148,36,12,10,3,0.3,0.25,0.272727273
58,85,27,10,5,0.5,0.185185185,0.27027027
35,18,5,10,2,0.2,0.4,0.266666667
67,31,5,10,2,0.2,0.4,0.266666667
77,24,5,10,2,0.2,0.4,0.266666667
231,19,5,10,2,0.2,0.4,0.266666667
472,24,5,10,2,0.2,0.4,0.266666667
521,35,5,10,2,0.2,0.4,0.266666667
434,175,58,10,9,0.9,0.155172414,0.264705882
201,82,28,10,5,0.5,0.178571429,0.263157895
44,35,13,10,3,0.3,0.230769231,0.260869565
114,18,13,10,3,0.3,0.230769231,0.260869565
203,32,13,10,3,0.3,0.230769231,0.260869565
526,45,13,10,3,0.3,0.230769231,0.260869565
437,101,21,10,4,0.4,0.19047619,0.258064516
541,66,21,10,4,0.4,0.19047619,0.258064516
106,27,6,10,2,0.2,0.333333333,0.25
118,16,6,10,2,0.2,0.333333333,0.25
291,25,6,10,2,0.2,0.333333333,0.25
383,28,6,10,2,0.2,0.333333333,0.25
529,19,6,10,2,0.2,0.333333333,0.25
549,15,6,10,2,0.2,0.333333333,0.25
267,43,14,10,3,0.3,0.214285714,0.25
511,38,14,10,3,0.3,0.214285714,0.25
503,73,22,10,4,0.4,0.181818182,0.25
151,44,15,10,3,0.3,0.2,0.24
273,40,15,10,3,0.3,0.2,0.24
348,40,15,10,3,0.3,0.2,0.24
435,27,15,10,3,0.3,0.2,0.24
176,29,7,10,2,0.2,0.285714286,0.235294118
205,20,7,10,2,0.2,0.285714286,0.235294118
214,15,7,10,2,0.2,0.285714286,0.235294118
433,15,7,10,2,0.2,0.285714286,0.235294118
39,76,24,10,4,0.4,0.166666667,0.235294118
314,95,33,10,5,0.5,0.151515152,0.23255814
441,29,16,10,3,0.3,0.1875,0.230769231
351,99,42,10,6,0.6,0.142857143,0.230769231
317,138,51,10,7,0.7,0.137254902,0.229508197
386,43,25,10,4,0.4,0.16,0.228571429
436,81,25,10,4,0.4,0.16,0.228571429
326,118,34,10,5,0.5,0.147058824,0.227272727
13,23,8,10,2,0.2,0.25,0.222222222
61,31,8,10,2,0.2,0.25,0.222222222
69,38,8,10,2,0.2,0.25,0.222222222
