,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,158,74,10,4,0.4,0.054054054,0.095238095
2,22,7,10,0,0,0,-1
3,27,12,10,0,0,0,-1
4,164,52,10,4,0.4,0.076923077,0.129032258
5,35,9,10,1,0.1,0.111111111,0.105263158
6,236,78,10,8,0.8,0.102564103,0.181818182
7,112,40,10,3,0.3,0.075,0.12
8,34,13,10,3,0.3,0.230769231,0.260869565
9,35,11,10,0,0,0,-1
10,93,47,10,2,0.2,0.042553191,0.070175439
11,46,18,10,3,0.3,0.166666667,0.214285714
12,26,6,10,0,0,0,-1
13,25,6,10,1,0.1,0.166666667,0.125
14,41,7,10,1,0.1,0.142857143,0.117647059
15,107,28,10,3,0.3,0.107142857,0.157894737
16,72,26,10,8,0.8,0.307692308,0.444444444
17,83,22,10,5,0.5,0.227272727,0.3125
18,378,124,10,9,0.9,0.072580645,0.134328358
19,536,167,10,6,0.6,0.035928144,0.06779661
20,175,67,10,1,0.1,0.014925373,0.025974026
21,343,100,10,7,0.7,0.07,0.127272727
22,96,23,10,2,0.2,0.086956522,0.121212121
23,94,27,10,2,0.2,0.074074074,0.108108108
24,85,25,10,4,0.4,0.16,0.228571429
25,20,6,10,5,0.5,0.833333333,0.625
26,15,6,10,2,0.2,0.333333333,0.25
27,95,40,10,3,0.3,0.075,0.12
28,402,168,10,6,0.6,0.035714286,0.06741573
29,59,22,10,1,0.1,0.045454545,0.0625
30,25,9,10,3,0.3,0.333333333,0.315789474
31,36,14,10,2,0.2,0.142857143,0.166666667
32,87,15,10,3,0.3,0.2,0.24
33,114,42,10,2,0.2,0.047619048,0.076923077
34,65,21,10,1,0.1,0.047619048,0.064516129
35,19,4,10,0,0,0,-1
36,45,15,10,0,0,0,-1
37,17,4,10,3,0.3,0.75,0.428571429
38,61,17,10,4,0.4,0.235294118,0.296296296
39,78,22,10,2,0.2,0.090909091,0.125
40,80,23,10,5,0.5,0.217391304,0.303030303
41,160,57,10,6,0.6,0.105263158,0.179104478
42,342,98,10,2,0.2,0.020408163,0.037037037
43,84,30,10,8,0.8,0.266666667,0.4
44,33,15,10,1,0.1,0.066666667,0.08
45,308,91,10,8,0.8,0.087912088,0.158415842
46,33,9,10,5,0.5,0.555555556,0.526315789
47,105,35,10,1,0.1,0.028571429,0.044444444
48,26,7,10,0,0,0,-1
49,14,7,10,2,0.2,0.285714286,0.235294118
50,228,82,10,1,0.1,0.012195122,0.02173913
51,273,86,10,1,0.1,0.011627907,0.020833333
52,104,26,10,2,0.2,0.076923077,0.111111111
53,16,4,10,0,0,0,-1
54,27,6,10,1,0.1,0.166666667,0.125
55,20,5,10,0,0,0,-1
56,32,14,10,8,0.8,0.571428571,0.666666667
57,343,133,10,10,1,0.07518797,0.13986014
58,85,27,10,9,0.9,0.333333333,0.486486486
59,82,25,10,2,0.2,0.08,0.114285714
60,18,4,10,0,0,0,-1
61,28,11,10,1,0.1,0.090909091,0.095238095
62,274,92,10,9,0.9,0.097826087,0.176470588
63,206,65,10,6,0.6,0.092307692,0.16
64,393,124,10,7,0.7,0.056451613,0.104477612
65,27,7,10,0,0,0,-1
66,262,83,10,3,0.3,0.036144578,0.064516129
67,24,12,10,2,0.2,0.166666667,0.181818182
68,943,317,10,10,1,0.031545741,0.06116208
69,36,10,10,3,0.3,0.3,0.3
70,46,16,10,0,0,0,-1
71,25,10,10,2,0.2,0.2,0.2
72,35,10,10,3,0.3,0.3,0.3
73,158,52,10,3,0.3,0.057692308,0.096774194
74,140,37,10,2,0.2,0.054054054,0.085106383
75,55,14,10,1,0.1,0.071428571,0.083333333
76,87,32,10,2,0.2,0.0625,0.095238095
77,21,8,10,2,0.2,0.25,0.222222222
78,52,9,10,2,0.2,0.222222222,0.210526316
79,52,12,10,3,0.3,0.25,0.272727273
80,133,34,10,2,0.2,0.058823529,0.090909091
81,19,7,10,4,0.4,0.571428571,0.470588235
82,163,64,10,5,0.5,0.078125,0.135135135
83,84,34,10,3,0.3,0.088235294,0.136363636
84,221,72,10,4,0.4,0.055555556,0.097560976
85,26,8,10,0,0,0,-1
86,53,17,10,4,0.4,0.235294118,0.296296296
87,18,3,10,1,0.1,0.333333333,0.153846154
88,42,14,10,1,0.1,0.071428571,0.083333333
89,396,122,10,2,0.2,0.016393443,0.03030303
90,44,10,10,3,0.3,0.3,0.3
91,441,134,10,9,0.9,0.067164179,0.125
92,18,6,10,0,0,0,-1
93,78,19,10,2,0.2,0.105263158,0.137931034
94,40,16,10,5,0.5,0.3125,0.384615385
95,125,43,10,1,0.1,0.023255814,0.037735849
96,61,17,10,3,0.3,0.176470588,0.222222222
97,31,5,10,0,0,0,-1
98,69,23,10,0,0,0,-1
99,41,12,10,2,0.2,0.166666667,0.181818182
100,106,42,10,3,0.3,0.071428571,0.115384615
101,49,12,10,2,0.2,0.166666667,0.181818182
102,43,13,10,4,0.4,0.307692308,0.347826087
103,288,89,10,2,0.2,0.02247191,0.04040404
104,202,71,10,3,0.3,0.042253521,0.074074074
105,546,176,10,10,1,0.056818182,0.107526882
106,24,9,10,3,0.3,0.333333333,0.315789474
107,22,12,10,6,0.6,0.5,0.545454545
108,60,16,10,0,0,0,-1
109,86,41,10,5,0.5,0.12195122,0.196078431
110,33,18,10,2,0.2,0.111111111,0.142857143
111,496,150,10,2,0.2,0.013333333,0.025
112,47,18,10,1,0.1,0.055555556,0.071428571
113,120,30,10,0,0,0,-1
114,22,9,10,3,0.3,0.333333333,0.315789474
115,90,22,10,3,0.3,0.136363636,0.1875
116,60,27,10,4,0.4,0.148148148,0.216216216
117,127,38,10,9,0.9,0.236842105,0.375
118,17,5,10,0,0,0,-1
119,160,55,10,5,0.5,0.090909091,0.153846154
120,10,12,10,5,0.5,0.416666667,0.454545455
121,41,17,10,7,0.7,0.411764706,0.518518519
122,208,84,10,5,0.5,0.05952381,0.106382979
123,44,12,10,2,0.2,0.166666667,0.181818182
124,38,12,10,3,0.3,0.25,0.272727273
125,272,88,10,2,0.2,0.022727273,0.040816327
126,35,3,10,3,0.3,1,0.461538462
127,14,8,10,0,0,0,-1
128,27,6,10,1,0.1,0.166666667,0.125
129,104,36,10,3,0.3,0.083333333,0.130434783
130,21,7,10,7,0.7,1,0.823529412
131,46,23,10,7,0.7,0.304347826,0.424242424
132,266,81,10,4,0.4,0.049382716,0.087912088
133,27,8,10,5,0.5,0.625,0.555555556
134,22,13,10,3,0.3,0.230769231,0.260869565
135,213,66,10,6,0.6,0.090909091,0.157894737
136,90,21,10,7,0.7,0.333333333,0.451612903
137,110,31,10,7,0.7,0.225806452,0.341463415
138,19,3,10,0,0,0,-1
139,138,56,10,3,0.3,0.053571429,0.090909091
140,443,165,10,7,0.7,0.042424242,0.08
141,128,40,10,5,0.5,0.125,0.2
142,27,11,10,4,0.4,0.363636364,0.380952381
143,54,17,10,1,0.1,0.058823529,0.074074074
144,99,29,10,4,0.4,0.137931034,0.205128205
145,12,11,10,7,0.7,0.636363636,0.666666667
146,23,9,10,0,0,0,-1
147,15,5,10,0,0,0,-1
148,35,13,10,4,0.4,0.307692308,0.347826087
149,41,17,10,5,0.5,0.294117647,0.37037037
150,20,6,10,3,0.3,0.5,0.375
151,48,11,10,4,0.4,0.363636364,0.380952381
152,42,21,10,4,0.4,0.19047619,0.258064516
153,141,38,10,2,0.2,0.052631579,0.083333333
154,23,11,10,2,0.2,0.181818182,0.19047619
155,35,11,10,0,0,0,-1
156,289,109,10,7,0.7,0.064220183,0.117647059
157,18,3,10,0,0,0,-1
158,20,6,10,0,0,0,-1
159,74,23,10,0,0,0,-1
160,331,106,10,7,0.7,0.066037736,0.120689655
161,25,14,10,2,0.2,0.142857143,0.166666667
162,27,11,10,2,0.2,0.181818182,0.19047619
163,19,4,10,0,0,0,-1
164,31,5,10,0,0,0,-1
165,49,16,10,2,0.2,0.125,0.153846154
166,135,55,10,7,0.7,0.127272727,0.215384615
167,123,50,10,4,0.4,0.08,0.133333333
168,64,30,10,4,0.4,0.133333333,0.2
169,209,60,10,1,0.1,0.016666667,0.028571429
170,45,5,10,2,0.2,0.4,0.266666667
171,62,20,10,3,0.3,0.15,0.2
172,22,4,10,0,0,0,-1
173,23,2,10,1,0.1,0.5,0.166666667
174,44,23,10,5,0.5,0.217391304,0.303030303
175,20,4,10,0,0,0,-1
176,30,6,10,2,0.2,0.333333333,0.25
177,652,252,10,8,0.8,0.031746032,0.061068702
178,58,19,10,2,0.2,0.105263158,0.137931034
179,56,13,10,6,0.6,0.461538462,0.52173913
180,19,5,10,0,0,0,-1
181,88,30,10,3,0.3,0.1,0.15
182,716,261,10,8,0.8,0.030651341,0.05904059
183,45,12,10,2,0.2,0.166666667,0.181818182
184,98,36,10,2,0.2,0.055555556,0.086956522
185,38,9,10,0,0,0,-1
186,166,60,10,5,0.5,0.083333333,0.142857143
187,200,58,10,3,0.3,0.051724138,0.088235294
188,39,9,10,1,0.1,0.111111111,0.105263158
189,15,5,10,4,0.4,0.8,0.533333333
190,46,20,10,3,0.3,0.15,0.2
191,59,26,10,2,0.2,0.076923077,0.111111111
192,16,6,10,3,0.3,0.5,0.375
193,26,9,10,2,0.2,0.222222222,0.210526316
194,15,5,10,0,0,0,-1
195,140,47,10,1,0.1,0.021276596,0.035087719
196,23,9,10,0,0,0,-1
197,24,11,10,0,0,0,-1
198,169,61,10,7,0.7,0.114754098,0.197183099
199,273,90,10,0,0,0,-1
200,258,76,10,7,0.7,0.092105263,0.162790698
201,81,29,10,6,0.6,0.206896552,0.307692308
202,308,95,10,6,0.6,0.063157895,0.114285714
