,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,178,54,20,6,0.3,0.1111111111111111,0.16216216216216217
2,20,9,20,1,0.05,0.1111111111111111,0.06896551724137932
3,33,6,20,0,0.0,0.0,error
4,179,37,20,2,0.1,0.05405405405405406,0.07017543859649122
5,35,9,20,4,0.2,0.4444444444444444,0.2758620689655173
6,225,89,20,10,0.5,0.11235955056179775,0.18348623853211007
7,117,35,20,3,0.15,0.08571428571428572,0.10909090909090909
8,37,10,20,6,0.3,0.6,0.4
9,32,14,20,0,0.0,0.0,error
10,108,32,20,1,0.05,0.03125,0.038461538461538464
11,49,15,20,6,0.3,0.4,0.34285714285714286
12,22,10,20,0,0.0,0.0,error
13,20,11,20,1,0.05,0.09090909090909091,0.06451612903225806
14,31,17,20,7,0.35,0.4117647058823529,0.37837837837837834
15,100,35,20,9,0.45,0.2571428571428571,0.32727272727272727
16,70,28,20,5,0.25,0.17857142857142858,0.20833333333333331
17,72,33,20,4,0.2,0.12121212121212122,0.15094339622641512
18,370,132,20,14,0.7,0.10606060606060606,0.18421052631578946
19,503,200,20,13,0.65,0.065,0.11818181818181818
20,178,64,20,6,0.3,0.09375,0.14285714285714285
21,321,122,20,11,0.55,0.09016393442622951,0.15492957746478875
22,87,32,20,4,0.2,0.125,0.15384615384615385
23,84,37,20,5,0.25,0.13513513513513514,0.1754385964912281
24,87,23,20,1,0.05,0.043478260869565216,0.046511627906976744
25,19,7,20,6,0.3,0.8571428571428571,0.4444444444444444
26,13,8,20,4,0.2,0.5,0.28571428571428575
27,103,32,20,4,0.2,0.125,0.15384615384615385
28,427,143,20,11,0.55,0.07692307692307693,0.13496932515337423
29,57,24,20,0,0.0,0.0,error
30,26,8,20,3,0.15,0.375,0.21428571428571425
31,37,13,20,5,0.25,0.38461538461538464,0.30303030303030304
32,76,26,20,5,0.25,0.19230769230769232,0.2173913043478261
33,119,37,20,2,0.1,0.05405405405405406,0.07017543859649122
34,64,22,20,1,0.05,0.045454545454545456,0.04761904761904762
35,16,7,20,2,0.1,0.2857142857142857,0.14814814814814817
36,49,11,20,0,0.0,0.0,error
37,14,7,20,6,0.3,0.8571428571428571,0.4444444444444444
38,54,24,20,11,0.55,0.4583333333333333,0.5
39,79,21,20,5,0.25,0.23809523809523808,0.24390243902439024
40,75,28,20,4,0.2,0.14285714285714285,0.16666666666666666
41,170,47,20,5,0.25,0.10638297872340426,0.1492537313432836
42,341,99,20,4,0.2,0.04040404040404041,0.06722689075630253
43,89,25,20,7,0.35,0.28,0.3111111111111111
44,35,13,20,2,0.1,0.15384615384615385,0.12121212121212123
45,293,106,20,11,0.55,0.10377358490566038,0.17460317460317462
46,24,18,20,10,0.5,0.5555555555555556,0.5263157894736842
47,107,33,20,0,0.0,0.0,error
48,21,12,20,0,0.0,0.0,error
49,17,4,20,0,0.0,0.0,error
50,223,87,20,2,0.1,0.022988505747126436,0.037383177570093455
51,270,89,20,1,0.05,0.011235955056179775,0.01834862385321101
52,99,31,20,3,0.15,0.0967741935483871,0.11764705882352941
53,17,3,20,0,0.0,0.0,error
54,27,6,20,5,0.25,0.8333333333333334,0.3846153846153846
55,22,3,20,1,0.05,0.3333333333333333,0.08695652173913045
56,30,16,20,8,0.4,0.5,0.4444444444444445
57,346,130,20,12,0.6,0.09230769230769231,0.16
58,89,23,20,7,0.35,0.30434782608695654,0.3255813953488372
59,81,26,20,5,0.25,0.19230769230769232,0.2173913043478261
60,20,2,20,0,0.0,0.0,error
61,29,10,20,2,0.1,0.2,0.13333333333333333
62,266,100,20,9,0.45,0.09,0.15
63,206,65,20,7,0.35,0.1076923076923077,0.16470588235294117
64,397,120,20,6,0.3,0.05,0.08571428571428572
65,27,7,20,2,0.1,0.2857142857142857,0.14814814814814817
66,260,85,20,7,0.35,0.08235294117647059,0.13333333333333333
67,29,7,20,3,0.15,0.42857142857142855,0.2222222222222222
68,952,308,20,14,0.7,0.045454545454545456,0.08536585365853659
69,34,12,20,1,0.05,0.08333333333333333,0.0625
70,48,14,20,0,0.0,0.0,error
71,28,7,20,1,0.05,0.14285714285714285,0.07407407407407408
72,34,11,20,5,0.25,0.45454545454545453,0.3225806451612903
73,159,51,20,5,0.25,0.09803921568627451,0.14084507042253522
74,131,46,20,2,0.1,0.043478260869565216,0.06060606060606061
75,56,13,20,2,0.1,0.15384615384615385,0.12121212121212123
76,88,31,20,6,0.3,0.1935483870967742,0.23529411764705882
77,22,7,20,4,0.2,0.5714285714285714,0.29629629629629634
78,47,14,20,6,0.3,0.42857142857142855,0.3529411764705882
79,50,14,20,3,0.15,0.21428571428571427,0.1764705882352941
80,114,53,20,6,0.3,0.11320754716981132,0.1643835616438356
81,21,5,20,4,0.2,0.8,0.32000000000000006
82,172,55,20,7,0.35,0.12727272727272726,0.18666666666666665
83,85,33,20,5,0.25,0.15151515151515152,0.18867924528301888
84,222,71,20,8,0.4,0.11267605633802817,0.17582417582417584
85,22,12,20,0,0.0,0.0,error
86,48,22,20,6,0.3,0.2727272727272727,0.28571428571428564
87,17,4,20,0,0.0,0.0,error
88,40,16,20,4,0.2,0.25,0.22222222222222224
89,388,130,20,2,0.1,0.015384615384615385,0.02666666666666667
90,45,9,20,2,0.1,0.2222222222222222,0.13793103448275865
91,426,149,20,15,0.75,0.10067114093959731,0.1775147928994083
92,16,8,20,0,0.0,0.0,error
93,79,18,20,2,0.1,0.1111111111111111,0.10526315789473685
94,47,9,20,3,0.15,0.3333333333333333,0.20689655172413793
95,128,40,20,4,0.2,0.1,0.13333333333333333
96,61,17,20,4,0.2,0.23529411764705882,0.2162162162162162
97,27,9,20,2,0.1,0.2222222222222222,0.13793103448275865
98,73,19,20,1,0.05,0.05263157894736842,0.05128205128205128
99,45,8,20,3,0.15,0.375,0.21428571428571425
100,117,31,20,2,0.1,0.06451612903225806,0.0784313725490196
101,48,13,20,2,0.1,0.15384615384615385,0.12121212121212123
102,41,15,20,7,0.35,0.4666666666666667,0.4
103,279,98,20,8,0.4,0.08163265306122448,0.13559322033898302
104,212,61,20,4,0.2,0.06557377049180328,0.09876543209876544
105,517,205,20,12,0.6,0.05853658536585366,0.10666666666666667
106,24,9,20,6,0.3,0.6666666666666666,0.41379310344827586
107,27,7,20,3,0.15,0.42857142857142855,0.2222222222222222
108,49,27,20,0,0.0,0.0,error
109,88,39,20,11,0.55,0.28205128205128205,0.3728813559322034
110,37,14,20,2,0.1,0.14285714285714285,0.11764705882352941
111,516,130,20,7,0.35,0.05384615384615385,0.09333333333333332
112,54,11,20,2,0.1,0.18181818181818182,0.12903225806451613
113,118,32,20,2,0.1,0.0625,0.07692307692307693
114,27,4,20,2,0.1,0.5,0.16666666666666669
115,88,24,20,3,0.15,0.125,0.13636363636363635
116,63,24,20,4,0.2,0.16666666666666666,0.1818181818181818
117,120,45,20,11,0.55,0.24444444444444444,0.3384615384615384
118,14,8,20,3,0.15,0.375,0.21428571428571425
119,163,52,20,8,0.4,0.15384615384615385,0.2222222222222222
120,16,6,20,3,0.15,0.5,0.23076923076923075
121,41,17,20,5,0.25,0.29411764705882354,0.27027027027027023
122,224,68,20,5,0.25,0.07352941176470588,0.11363636363636363
123,41,15,20,3,0.15,0.2,0.17142857142857143
124,41,9,20,0,0.0,0.0,error
125,275,85,20,1,0.05,0.011764705882352941,0.01904761904761905
126,31,7,20,6,0.3,0.8571428571428571,0.4444444444444444
127,15,7,20,0,0.0,0.0,error
128,26,7,20,1,0.05,0.14285714285714285,0.07407407407407408
129,114,26,20,7,0.35,0.2692307692307692,0.3043478260869565
130,22,6,20,5,0.25,0.8333333333333334,0.3846153846153846
131,48,21,20,5,0.25,0.23809523809523808,0.24390243902439024
132,262,85,20,7,0.35,0.08235294117647059,0.13333333333333333
133,26,9,20,5,0.25,0.5555555555555556,0.3448275862068966
134,29,6,20,3,0.15,0.5,0.23076923076923075
135,210,69,20,7,0.35,0.10144927536231885,0.15730337078651685
136,82,29,20,7,0.35,0.2413793103448276,0.2857142857142857
137,114,27,20,7,0.35,0.25925925925925924,0.29787234042553196
138,17,5,20,1,0.05,0.2,0.08000000000000002
139,154,40,20,4,0.2,0.1,0.13333333333333333
140,453,155,20,9,0.45,0.05806451612903226,0.10285714285714287
141,128,40,20,8,0.4,0.2,0.26666666666666666
142,21,17,20,9,0.45,0.5294117647058824,0.48648648648648646
143,55,16,20,2,0.1,0.125,0.11111111111111112
144,100,28,20,3,0.15,0.10714285714285714,0.125
145,17,6,20,5,0.25,0.8333333333333334,0.3846153846153846
146,28,4,20,0,0.0,0.0,error
147,14,6,20,0,0.0,0.0,error
148,38,10,20,5,0.25,0.5,0.3333333333333333
149,45,13,20,5,0.25,0.38461538461538464,0.30303030303030304
150,20,6,20,4,0.2,0.6666666666666666,0.30769230769230765
151,43,16,20,3,0.15,0.1875,0.16666666666666663
152,53,10,20,2,0.1,0.2,0.13333333333333333
153,131,48,20,1,0.05,0.020833333333333332,0.029411764705882353
154,26,8,20,2,0.1,0.25,0.14285714285714288
155,33,13,20,1,0.05,0.07692307692307693,0.060606060606060615
156,299,99,20,10,0.5,0.10101010101010101,0.16806722689075632
157,17,4,20,1,0.05,0.25,0.08333333333333334
158,17,9,20,0,0.0,0.0,error
159,73,24,20,2,0.1,0.08333333333333333,0.0909090909090909
160,334,103,20,11,0.55,0.10679611650485436,0.17886178861788618
161,32,7,20,2,0.1,0.2857142857142857,0.14814814814814817
162,29,9,20,2,0.1,0.2222222222222222,0.13793103448275865
163,17,6,20,0,0.0,0.0,error
164,26,10,20,3,0.15,0.3,0.2
165,43,22,20,3,0.15,0.13636363636363635,0.14285714285714282
166,143,47,20,9,0.45,0.19148936170212766,0.26865671641791045
167,125,48,20,8,0.4,0.16666666666666666,0.23529411764705882
168,74,20,20,2,0.1,0.1,0.10000000000000002
169,206,63,20,9,0.45,0.14285714285714285,0.21686746987951805
170,30,20,20,8,0.4,0.4,0.4000000000000001
171,58,24,20,7,0.35,0.2916666666666667,0.31818181818181823
172,20,6,20,1,0.05,0.16666666666666666,0.07692307692307691
173,21,4,20,3,0.15,0.75,0.24999999999999997
174,48,19,20,7,0.35,0.3684210526315789,0.358974358974359
175,22,2,20,0,0.0,0.0,error
176,27,9,20,6,0.3,0.6666666666666666,0.41379310344827586
177,681,223,20,10,0.5,0.04484304932735426,0.08230452674897118
178,51,26,20,4,0.2,0.15384615384615385,0.17391304347826086
179,52,17,20,9,0.45,0.5294117647058824,0.48648648648648646
180,18,6,20,3,0.15,0.5,0.23076923076923075
181,82,36,20,6,0.3,0.16666666666666666,0.21428571428571427
182,721,256,20,14,0.7,0.0546875,0.10144927536231883
183,46,11,20,3,0.15,0.2727272727272727,0.19354838709677416
184,106,28,20,3,0.15,0.10714285714285714,0.125
185,37,10,20,1,0.05,0.1,0.06666666666666667
186,167,59,20,8,0.4,0.13559322033898305,0.20253164556962028
187,184,74,20,8,0.4,0.10810810810810811,0.1702127659574468
188,37,11,20,1,0.05,0.09090909090909091,0.06451612903225806
189,13,7,20,5,0.25,0.7142857142857143,0.37037037037037035
190,53,13,20,5,0.25,0.38461538461538464,0.30303030303030304
191,58,27,20,6,0.3,0.2222222222222222,0.25531914893617025
192,16,6,20,4,0.2,0.6666666666666666,0.30769230769230765
193,33,2,20,2,0.1,1.0,0.18181818181818182
194,12,8,20,0,0.0,0.0,error
195,152,35,20,3,0.15,0.08571428571428572,0.10909090909090909
196,26,6,20,1,0.05,0.16666666666666666,0.07692307692307691
197,25,10,20,0,0.0,0.0,error
198,160,70,20,8,0.4,0.11428571428571428,0.17777777777777776
199,271,92,20,5,0.25,0.05434782608695652,0.08928571428571427
200,255,79,20,8,0.4,0.10126582278481013,0.16161616161616163
201,80,30,20,6,0.3,0.2,0.24
202,314,89,20,12,0.6,0.1348314606741573,0.2201834862385321
203,36,9,20,1,0.05,0.1111111111111111,0.06896551724137932
204,64,19,20,2,0.1,0.10526315789473684,0.10256410256410256
205,21,6,20,2,0.1,0.3333333333333333,0.15384615384615383
206,15,10,20,5,0.25,0.5,0.3333333333333333
207,14,6,20,0,0.0,0.0,error
208,18,8,20,1,0.05,0.125,0.07142857142857144
209,22,13,20,5,0.25,0.38461538461538464,0.30303030303030304
210,103,35,20,5,0.25,0.14285714285714285,0.18181818181818182
211,71,18,20,3,0.15,0.16666666666666666,0.15789473684210525
212,181,67,20,6,0.3,0.08955223880597014,0.13793103448275862
213,62,22,20,3,0.15,0.13636363636363635,0.14285714285714282
214,16,6,20,1,0.05,0.16666666666666666,0.07692307692307691
215,75,23,20,3,0.15,0.13043478260869565,0.13953488372093023
216,120,44,20,6,0.3,0.13636363636363635,0.18749999999999997
217,468,145,20,11,0.55,0.07586206896551724,0.13333333333333333
218,20,6,20,1,0.05,0.16666666666666666,0.07692307692307691
219,402,126,20,14,0.7,0.1111111111111111,0.19178082191780818
220,158,49,20,8,0.4,0.16326530612244897,0.23188405797101447
221,255,76,20,5,0.25,0.06578947368421052,0.10416666666666667
222,192,58,20,5,0.25,0.08620689655172414,0.12820512820512822
223,57,18,20,4,0.2,0.2222222222222222,0.2105263157894737
224,41,13,20,3,0.15,0.23076923076923078,0.18181818181818185
225,56,19,20,3,0.15,0.15789473684210525,0.15384615384615385
226,390,117,20,7,0.35,0.05982905982905983,0.10218978102189781
227,73,21,20,3,0.15,0.14285714285714285,0.14634146341463414
228,18,7,20,2,0.1,0.2857142857142857,0.14814814814814817
229,48,17,20,8,0.4,0.47058823529411764,0.4324324324324324
230,106,33,20,4,0.2,0.12121212121212122,0.15094339622641512
231,19,5,20,2,0.1,0.4,0.16000000000000003
232,663,199,20,11,0.55,0.05527638190954774,0.10045662100456622
233,116,34,20,6,0.3,0.17647058823529413,0.22222222222222224
234,153,49,20,2,0.1,0.04081632653061224,0.05797101449275362
235,49,16,20,6,0.3,0.375,0.33333333333333326
236,22,8,20,1,0.05,0.125,0.07142857142857144
237,41,9,20,0,0.0,0.0,error
238,34,10,20,0,0.0,0.0,error
239,196,83,20,12,0.6,0.14457831325301204,0.23300970873786409
240,99,29,20,8,0.4,0.27586206896551724,0.32653061224489793
241,56,20,20,2,0.1,0.1,0.10000000000000002
242,27,8,20,5,0.25,0.625,0.35714285714285715
243,28,8,20,2,0.1,0.25,0.14285714285714288
244,66,27,20,2,0.1,0.07407407407407407,0.0851063829787234
