,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,177,55,10,2,0,0,-1
2,25,4,10,0,0.2,0.5,0.285714286
3,28,11,10,0,0.2,0.181818182,0.19047619
4,159,57,10,5,0.2,0.035087719,0.059701493
5,35,9,10,1,0.7,0.777777778,0.736842105
6,232,82,10,9,0.8,0.097560976,0.173913043
7,115,37,10,1,1.7,0.459459459,0.723404255
8,35,12,10,4,1.8,1.5,1.636363636
9,36,10,10,0,2.2,2.2,2.2
10,102,38,10,1,2.2,0.578947368,0.916666667
11,48,16,10,2,2.3,1.4375,1.769230769
12,26,6,10,0,2.5,4.166666667,3.125
13,24,7,10,1,2.5,3.571428571,2.941176471
14,33,15,10,2,2.6,1.733333333,2.08
15,106,29,10,2,2.8,0.965517241,1.435897436
16,74,24,10,3,3,1.25,1.764705882
17,79,26,10,7,3.3,1.269230769,1.833333333
18,361,141,10,7,4,0.283687943,0.529801325
19,540,163,10,6,4.7,0.288343558,0.543352601
20,183,59,10,0,5.3,0.898305085,1.536231884
21,336,107,10,7,5.3,0.495327103,0.905982906
22,95,24,10,4,6,2.5,3.529411765
23,91,30,10,2,6.4,2.133333333,3.2
24,79,31,10,3,6.6,2.129032258,3.219512195
25,20,6,10,2,6.9,11.5,8.625
26,17,4,10,3,7.1,17.75,10.14285714
27,97,38,10,1,7.4,1.947368421,3.083333333
28,423,147,10,7,7.5,0.510204082,0.955414013
29,59,22,10,0,8.2,3.727272727,5.125
30,22,12,10,5,8.2,6.833333333,7.454545455
31,33,17,10,2,8.7,5.117647059,6.444444444
32,73,29,10,5,8.9,3.068965517,4.564102564
33,114,42,10,5,9.4,2.238095238,3.615384615
34,60,26,10,4,9.9,3.807692308,5.5
35,20,3,10,0,10.3,34.33333333,15.84615385
36,50,10,10,0,10.3,10.3,10.3
37,16,5,10,2,10.3,20.6,13.73333333
38,53,25,10,4,10.5,4.2,6
39,79,21,10,4,10.9,5.19047619,7.032258065
40,73,30,10,3,11.3,3.766666667,5.65
41,165,52,10,2,11.6,2.230769231,3.741935484
42,324,116,10,2,11.8,1.017241379,1.873015873
43,83,31,10,8,12,3.870967742,5.853658537
44,39,9,10,2,12.8,14.22222222,13.47368421
45,303,96,10,5,13,1.354166667,2.452830189
46,33,9,10,4,13.5,15,14.21052632
47,106,34,10,1,13.9,4.088235294,6.318181818
48,24,9,10,0,14,15.55555556,14.73684211
49,17,4,10,0,14,35,20
50,227,83,10,2,14,1.686746988,3.010752688
51,276,83,10,0,14.2,1.710843373,3.053763441
52,101,29,10,4,14.2,4.896551724,7.282051282
53,15,5,10,0,14.6,29.2,19.46666667
54,25,8,10,2,14.6,18.25,16.22222222
55,21,4,10,0,14.8,37,21.14285714
56,38,8,10,5,14.8,18.5,16.44444444
57,350,126,10,6,15.3,1.214285714,2.25
58,81,31,10,5,15.9,5.129032258,7.756097561
59,80,27,10,2,16.4,6.074074074,8.864864865
60,15,7,10,1,16.6,23.71428571,19.52941176
61,32,7,10,0,16.7,23.85714286,19.64705882
62,271,95,10,8,16.7,1.757894737,3.180952381
63,206,65,10,7,17.5,2.692307692,4.666666667
